Lead_ID,Customer_Name,Industry,Country,Lead_Source,Budget,Company_Size,Salesperson,Status,Revenue,Meetings,Emails,Website_Visits,Last_Contact,Created_Date,Converted,Churned
L100000,Customer_00000,Technology,United Kingdom,Cold Call,27289.9,1-10,Alice Johnson,Won,0.0,1,43,68,2025-08-18,2025-07-02,0,0
L100001,Customer_00001,Telecom,United States,Referral,7703.85,201-500,Frank Miller,New,0.0,12,38,35,2025-11-08,2025-07-23,0,0
L100002,Customer_00002,Real Estate,India,Social Media,4883.5,201-500,Bob Smith,Contacted,0.0,3,16,19,2025-12-07,2025-10-31,0,0
L100003,Customer_00003,Manufacturing,India,Trade Show,28783.17,501-1000,Frank Miller,Lost,0.0,1,16,21,2024-12-14,2024-08-17,0,0
L100004,Customer_00004,Manufacturing,Brazil,Cold Call,25168.21,201-500,Emma Brown,Proposal Sent,0.0,15,44,3,2025-10-31,2025-09-17,0,0
L100005,Customer_00005,Energy,United Arab Emirates,Partner,14706.93,11-50,Bob Smith,New,16618.72,8,27,13,2026-05-08,2026-04-22,1,0
L100006,Customer_00006,Technology,Canada,Trade Show,10307.45,51-200,David Wilson,Negotiation,0.0,17,34,39,2025-06-22,2025-06-04,0,0
L100007,Customer_00007,Real Estate,Japan,Referral,4794.57,51-200,Alice Johnson,Proposal Sent,0.0,17,33,15,2025-07-01,2025-05-16,0,0
L100008,Customer_00008,Healthcare,Brazil,Paid Ads,24518.43,1000+,Frank Miller,Won,0.0,2,8,96,2025-02-09,2025-01-22,0,0
L100009,Customer_00009,Technology,Germany,Website,30647.14,201-500,Carol Davis,Negotiation,36133.17,15,11,82,2025-09-16,2025-07-23,1,0
L100010,Customer_00010,Education,Japan,Trade Show,8305.19,201-500,David Wilson,New,0.0,6,45,47,2026-03-13,2025-12-28,0,0
L100011,Customer_00011,Hospitality,United States,Email Campaign,7833.62,501-1000,Bob Smith,Contacted,0.0,14,13,9,2026-09-01,2026-07-19,0,0
L100012,Customer_00012,Telecom,Australia,Trade Show,31848.43,51-200,Carol Davis,Contacted,0.0,0,43,98,2024-11-03,2024-07-30,0,0
L100013,Customer_00013,Telecom,United Arab Emirates,Partner,8524.46,1000+,David Wilson,Negotiation,0.0,9,17,72,2026-05-09,2026-03-02,0,0
L100014,Customer_00014,Telecom,India,Trade Show,46413.34,501-1000,Bob Smith,Proposal Sent,0.0,12,42,18,2025-11-20,2025-11-06,0,0
L100015,Customer_00015,Telecom,United Arab Emirates,Trade Show,12377.85,1000+,Henry Chen,Won,0.0,8,28,5,2026-05-29,2026-03-30,0,0
L100016,Customer_00016,Education,United States,Partner,10192.49,501-1000,Carol Davis,Proposal Sent,0.0,11,4,61,2026-02-01,2026-01-30,0,0
L100017,Customer_00017,Finance,Australia,Trade Show,13788.3,201-500,Bob Smith,Contacted,0.0,0,13,4,2026-10-15,2026-06-06,0,0
L100018,Customer_00018,Energy,Brazil,Partner,10191.99,1-10,Emma Brown,New,0.0,0,47,61,2026-02-01,2025-11-14,0,0
L100019,Customer_00019,Manufacturing,India,Email Campaign,29388.2,201-500,Carol Davis,Contacted,0.0,12,10,44,2024-12-12,2024-08-27,0,0
L100020,Customer_00020,Education,Japan,Referral,24836.44,1-10,David Wilson,Qualified,26745.63,8,11,88,2026-03-04,2026-02-07,1,1
L100021,Customer_00021,Retail,Canada,Referral,28614.66,201-500,Frank Miller,Proposal Sent,0.0,11,7,38,2024-10-31,2024-08-15,0,0
L100022,Customer_00022,Finance,India,Social Media,15201.72,501-1000,Alice Johnson,Lost,0.0,7,30,44,2025-09-06,2025-04-14,0,0
L100023,Customer_00023,Hospitality,Canada,Social Media,9706.51,201-500,Emma Brown,Contacted,0.0,0,40,54,2024-11-13,2024-10-08,0,0
L100024,Customer_00024,Telecom,Japan,Website,13275.23,11-50,Alice Johnson,Negotiation,0.0,14,46,98,2025-10-18,2025-04-24,0,0
L100025,Customer_00025,Real Estate,United Kingdom,Referral,9917.06,1-10,Alice Johnson,New,0.0,2,44,70,2024-10-12,2024-07-29,0,0
L100026,Customer_00026,Manufacturing,Germany,Paid Ads,37295.11,501-1000,Alice Johnson,Negotiation,46570.81,15,44,66,2025-07-07,2025-06-13,1,0
L100027,Customer_00027,Energy,United States,Trade Show,26946.04,501-1000,Bob Smith,New,0.0,0,45,30,2024-12-23,2024-11-21,0,0
L100028,Customer_00028,Education,Brazil,Partner,12530.66,51-200,Carol Davis,Negotiation,0.0,18,28,48,2026-09-14,2026-06-23,0,0
L100029,Customer_00029,Manufacturing,Germany,Referral,6984.63,501-1000,Henry Chen,New,0.0,5,41,19,2025-02-26,2024-09-08,0,0
L100030,Customer_00030,Manufacturing,France,Website,39284.6,501-1000,Henry Chen,New,32048.16,17,31,39,2026-09-29,2026-07-07,1,0
L100031,Customer_00031,Healthcare,Japan,Cold Call,14701.12,201-500,Alice Johnson,Proposal Sent,0.0,0,6,82,2026-03-29,2026-02-26,0,0
L100032,Customer_00032,Technology,France,Partner,12196.24,1-10,Henry Chen,Qualified,0.0,9,1,9,2025-04-06,2025-01-27,0,0
L100033,Customer_00033,Education,United Kingdom,Social Media,39527.7,1000+,Frank Miller,Qualified,0.0,8,4,16,2026-06-17,2026-01-14,0,0
L100034,Customer_00034,Energy,United States,Partner,9349.1,51-200,Emma Brown,Contacted,0.0,3,17,58,2026-12-14,2026-06-20,0,0
L100035,Customer_00035,Technology,Germany,Email Campaign,10686.66,501-1000,Grace Lee,Lost,0.0,9,24,79,2025-02-16,2024-10-29,0,0
L100036,Customer_00036,Energy,United Arab Emirates,Email Campaign,11366.99,1000+,David Wilson,Contacted,0.0,4,31,97,2025-12-13,2025-07-11,0,0
L100037,Customer_00037,Energy,Australia,Social Media,5315.6,51-200,Carol Davis,Proposal Sent,0.0,8,26,58,2025-12-27,2025-08-04,0,0
L100038,Customer_00038,Healthcare,United Arab Emirates,Paid Ads,16664.15,201-500,Emma Brown,Won,0.0,7,18,65,2026-02-16,2025-12-02,0,0
L100039,Customer_00039,Real Estate,Germany,Email Campaign,7835.02,1-10,Frank Miller,Negotiation,0.0,3,36,28,2025-07-21,2025-02-12,0,0
L100040,Customer_00040,Finance,France,Social Media,8959.72,1000+,Frank Miller,Contacted,9302.06,15,43,40,2025-12-16,2025-12-03,1,0
L100041,Customer_00041,Telecom,United Kingdom,Paid Ads,8159.15,1-10,Bob Smith,Proposal Sent,0.0,10,11,31,2025-10-27,2025-06-05,0,0
L100042,Customer_00042,Telecom,France,Cold Call,8857.77,201-500,Henry Chen,New,0.0,16,13,10,2026-07-29,2026-04-16,0,0
L100043,Customer_00043,Retail,Australia,Partner,7426.13,51-200,Carol Davis,Proposal Sent,0.0,16,46,37,2026-03-25,2025-12-09,0,0
L100044,Customer_00044,Technology,Japan,Social Media,15883.72,1-10,Grace Lee,Qualified,0.0,5,48,21,2026-12-15,2026-06-30,0,0
L100045,Customer_00045,Hospitality,France,Paid Ads,11981.09,51-200,Carol Davis,Won,0.0,5,15,59,2026-02-11,2025-12-25,0,0
L100046,Customer_00046,Manufacturing,Brazil,Email Campaign,13816.32,1000+,Alice Johnson,Won,0.0,19,25,75,2025-11-19,2025-10-15,0,0
L100047,Customer_00047,Energy,India,Trade Show,69400.66,11-50,Henry Chen,New,0.0,6,28,97,2025-05-18,2025-01-20,0,0
L100048,Customer_00048,Real Estate,Germany,Cold Call,11981.36,11-50,Emma Brown,New,0.0,1,31,88,2025-04-09,2024-11-27,0,0
L100049,Customer_00049,Telecom,United Arab Emirates,Trade Show,20403.53,11-50,Bob Smith,Qualified,0.0,10,43,31,2025-06-27,2025-06-27,0,0
L100050,Customer_00050,Telecom,Canada,Cold Call,22095.4,1-10,Alice Johnson,Proposal Sent,0.0,19,5,93,2024-12-11,2024-09-13,0,0
L100051,Customer_00051,Finance,United Kingdom,Social Media,12784.65,11-50,Bob Smith,Qualified,0.0,4,26,94,2026-01-06,2025-10-31,0,0
L100052,Customer_00052,Retail,United Arab Emirates,Partner,16182.07,201-500,Bob Smith,Negotiation,0.0,12,10,50,2025-12-19,2025-07-25,0,0
L100053,Customer_00053,Manufacturing,United Arab Emirates,Email Campaign,13554.7,501-1000,Henry Chen,Proposal Sent,0.0,6,37,20,2025-09-27,2025-04-26,0,0
L100054,Customer_00054,Manufacturing,United States,Email Campaign,15394.89,501-1000,Bob Smith,Lost,0.0,7,29,77,2026-04-06,2026-03-13,0,0
L100055,Customer_00055,Technology,United Arab Emirates,Cold Call,8861.21,501-1000,Bob Smith,Qualified,0.0,9,37,11,2025-12-30,2025-09-17,0,0
L100056,Customer_00056,Education,United Arab Emirates,Trade Show,9452.67,501-1000,Grace Lee,New,0.0,2,45,36,2025-02-08,2024-10-02,0,0
L100057,Customer_00057,Finance,Japan,Social Media,13518.92,51-200,Henry Chen,Contacted,0.0,7,39,53,2025-09-23,2025-08-08,0,0
L100058,Customer_00058,Telecom,Germany,Social Media,3359.9,1000+,Bob Smith,Proposal Sent,0.0,5,42,86,2025-02-24,2024-09-09,0,0
L100059,Customer_00059,Real Estate,India,Website,38072.63,11-50,Frank Miller,Contacted,0.0,16,40,97,2025-08-20,2025-03-13,0,0
L100060,Customer_00060,Hospitality,Australia,Website,60633.37,501-1000,Emma Brown,Contacted,0.0,4,31,81,2026-04-17,2026-03-18,0,0
L100061,Customer_00061,Telecom,India,Website,15051.68,1-10,Emma Brown,Contacted,0.0,16,19,48,2025-08-22,2025-08-20,0,0
L100062,Customer_00062,Retail,India,Partner,21286.5,501-1000,Carol Davis,Won,0.0,0,16,8,2026-02-07,2025-10-26,0,0
L100063,Customer_00063,Hospitality,India,Partner,28473.82,1-10,Grace Lee,Lost,0.0,8,18,79,2025-01-31,2024-08-26,0,0
L100064,Customer_00064,Manufacturing,Australia,Website,5285.55,11-50,Henry Chen,Qualified,0.0,5,30,85,2026-03-19,2025-11-17,0,0
L100065,Customer_00065,Retail,India,Website,25585.85,51-200,Frank Miller,New,23407.63,8,40,47,2025-12-14,2025-07-31,1,0
L100066,Customer_00066,Hospitality,Australia,Partner,9911.91,501-1000,Henry Chen,Qualified,0.0,15,18,55,2025-07-11,2025-03-04,0,0
L100067,Customer_00067,Retail,United States,Social Media,66403.63,1-10,Alice Johnson,Qualified,44648.57,19,28,85,2024-09-12,2024-08-17,1,0
L100068,Customer_00068,Technology,United States,Cold Call,11710.23,11-50,Frank Miller,Lost,0.0,14,20,13,2025-06-29,2025-06-17,0,0
L100069,Customer_00069,Manufacturing,United Arab Emirates,Social Media,25228.45,51-200,Henry Chen,Qualified,0.0,10,30,81,2024-11-20,2024-11-09,0,0
L100070,Customer_00070,Telecom,United Arab Emirates,Referral,11791.23,501-1000,Emma Brown,Negotiation,13650.48,10,40,51,2026-10-20,2026-04-26,1,0
L100071,Customer_00071,Finance,Australia,Referral,62173.55,1000+,Henry Chen,Lost,68743.55,19,20,68,2025-03-28,2024-10-08,1,0
L100072,Customer_00072,Manufacturing,United Kingdom,Cold Call,9333.4,201-500,Carol Davis,Negotiation,0.0,19,19,19,2026-07-19,2026-02-19,0,0
L100073,Customer_00073,Finance,Brazil,Paid Ads,30198.94,201-500,Henry Chen,Contacted,0.0,15,10,61,2025-01-21,2025-01-09,0,0
L100074,Customer_00074,Real Estate,United Kingdom,Partner,20716.27,51-200,Henry Chen,Proposal Sent,0.0,3,24,26,2025-12-02,2025-06-26,0,0
L100075,Customer_00075,Manufacturing,France,Referral,17730.06,501-1000,Emma Brown,Qualified,0.0,5,22,51,2025-10-27,2025-05-05,0,0
L100076,Customer_00076,Retail,France,Social Media,15682.57,1-10,Frank Miller,Qualified,0.0,5,8,52,2026-10-02,2026-05-14,0,0
L100077,Customer_00077,Healthcare,United States,Paid Ads,8375.71,1-10,Emma Brown,Lost,0.0,4,48,95,2025-09-10,2025-06-27,0,0
L100078,Customer_00078,Education,Japan,Paid Ads,2185.85,11-50,Carol Davis,Contacted,0.0,19,42,67,2026-06-03,2026-05-18,0,0
L100079,Customer_00079,Real Estate,Australia,Partner,28341.27,11-50,Emma Brown,Qualified,0.0,3,14,55,2025-08-15,2025-06-13,0,0
L100080,Customer_00080,Hospitality,France,Referral,9488.28,51-200,Henry Chen,New,6445.68,17,47,40,2025-11-02,2025-09-27,1,0
L100081,Customer_00081,Manufacturing,Australia,Referral,30294.46,1000+,Alice Johnson,New,0.0,16,13,33,2026-06-20,2026-02-23,0,0
L100082,Customer_00082,Finance,United States,Referral,17088.97,201-500,Bob Smith,Proposal Sent,18519.02,10,20,65,2026-01-01,2025-07-27,1,1
L100083,Customer_00083,Energy,Canada,Referral,30951.59,51-200,David Wilson,Won,0.0,6,6,88,2026-05-14,2026-02-14,0,0
L100084,Customer_00084,Real Estate,Australia,Referral,23419.51,11-50,Carol Davis,Negotiation,0.0,5,30,57,2026-05-29,2026-05-21,0,0
L100085,Customer_00085,Telecom,France,Cold Call,2379.66,201-500,Emma Brown,Contacted,0.0,13,24,66,2026-09-04,2026-06-26,0,0
L100086,Customer_00086,Technology,Japan,Social Media,20546.11,11-50,Carol Davis,New,21512.69,13,13,32,2026-04-05,2025-11-13,1,0
L100087,Customer_00087,Retail,Germany,Email Campaign,10503.12,1000+,Frank Miller,Qualified,0.0,10,14,55,2025-05-17,2025-01-22,0,0
L100088,Customer_00088,Telecom,United Kingdom,Email Campaign,30197.3,51-200,Alice Johnson,Proposal Sent,0.0,11,46,57,2025-06-02,2025-05-26,0,0
L100089,Customer_00089,Energy,Australia,Referral,20208.23,201-500,Carol Davis,Won,0.0,16,34,68,2026-06-22,2026-04-20,0,0
L100090,Customer_00090,Manufacturing,Japan,Referral,20375.29,1000+,Frank Miller,Negotiation,0.0,15,7,31,2025-11-02,2025-08-31,0,0
L100091,Customer_00091,Energy,France,Paid Ads,11041.65,11-50,David Wilson,Lost,0.0,15,6,34,2025-05-28,2025-05-22,0,0
L100092,Customer_00092,Energy,United States,Social Media,7052.77,51-200,Frank Miller,Won,0.0,5,3,35,2026-04-03,2026-01-31,0,0
L100093,Customer_00093,Retail,United Arab Emirates,Referral,9867.28,201-500,Frank Miller,Qualified,0.0,1,12,42,2026-09-06,2026-04-11,0,0
L100094,Customer_00094,Energy,Canada,Partner,3789.83,11-50,Carol Davis,Negotiation,0.0,9,36,29,2026-02-12,2026-01-20,0,0
L100095,Customer_00095,Healthcare,United Kingdom,Partner,8837.5,1-10,David Wilson,Won,0.0,6,3,19,2026-09-02,2026-06-02,0,0
L100096,Customer_00096,Healthcare,India,Paid Ads,4793.85,11-50,Henry Chen,Lost,0.0,6,12,50,2026-05-23,2026-01-25,0,0
L100097,Customer_00097,Real Estate,France,Referral,4883.32,1-10,Henry Chen,Qualified,0.0,10,2,85,2025-10-27,2025-06-26,0,0
L100098,Customer_00098,Real Estate,United Arab Emirates,Trade Show,14494.65,501-1000,Alice Johnson,Negotiation,0.0,18,32,3,2025-02-09,2024-12-12,0,0
L100099,Customer_00099,Finance,Germany,Paid Ads,19415.64,1-10,Frank Miller,Qualified,0.0,16,40,66,2025-02-01,2024-10-21,0,0
L100100,Customer_00100,Energy,Australia,Partner,13065.68,11-50,David Wilson,Won,0.0,13,26,81,2025-07-24,2025-03-16,0,0
L100101,Customer_00101,Finance,Australia,Referral,9422.41,1000+,Alice Johnson,Lost,0.0,14,45,82,2026-02-21,2025-11-03,0,0
L100102,Customer_00102,Energy,Germany,Paid Ads,6883.03,201-500,Frank Miller,Lost,0.0,8,34,85,2025-02-04,2024-09-07,0,0
L100103,Customer_00103,Technology,Canada,Email Campaign,10699.63,501-1000,Alice Johnson,New,0.0,10,38,31,2024-10-26,2024-09-17,0,0
L100104,Customer_00104,Telecom,United Kingdom,Email Campaign,7513.4,501-1000,Carol Davis,Contacted,0.0,8,15,10,2025-11-20,2025-11-01,0,0
L100105,Customer_00105,Telecom,India,Social Media,12784.88,11-50,Frank Miller,Won,0.0,16,43,99,2026-12-28,2026-07-13,0,0
L100106,Customer_00106,Telecom,Brazil,Partner,4605.14,201-500,Grace Lee,Negotiation,5025.6,19,31,69,2026-01-17,2025-09-07,1,0
L100107,Customer_00107,Real Estate,United Arab Emirates,Website,21827.42,11-50,David Wilson,Lost,0.0,8,4,35,2025-11-03,2025-08-15,0,0
L100108,Customer_00108,Manufacturing,France,Social Media,8982.9,201-500,Grace Lee,Contacted,0.0,14,4,85,2025-06-23,2025-03-13,0,0
L100109,Customer_00109,Telecom,Germany,Partner,17385.29,501-1000,Grace Lee,Won,0.0,1,44,35,2026-09-16,2026-04-04,0,0
L100110,Customer_00110,Healthcare,Australia,Social Media,24861.0,1000+,David Wilson,Negotiation,0.0,8,13,74,2025-11-21,2025-06-18,0,0
L100111,Customer_00111,Telecom,India,Cold Call,16806.31,1000+,Bob Smith,New,0.0,17,23,96,2026-04-26,2025-12-02,0,0
L100112,Customer_00112,Education,United Arab Emirates,Website,23374.21,1-10,Frank Miller,New,0.0,13,38,76,2025-11-07,2025-07-24,0,0
L100113,Customer_00113,Manufacturing,United States,Social Media,3144.32,11-50,Alice Johnson,Negotiation,2385.76,10,38,65,2026-11-09,2026-07-03,1,0
L100114,Customer_00114,Education,Germany,Trade Show,9461.63,201-500,Henry Chen,New,0.0,4,1,19,2025-10-12,2025-06-30,0,0
L100115,Customer_00115,Education,Germany,Social Media,28916.1,11-50,David Wilson,Won,29687.96,16,30,93,2026-09-15,2026-06-25,1,0
L100116,Customer_00116,Technology,Germany,Paid Ads,19081.24,201-500,Grace Lee,Proposal Sent,12765.09,19,45,42,2025-03-06,2024-11-05,1,0
L100117,Customer_00117,Finance,Canada,Social Media,48723.87,1000+,Frank Miller,Qualified,0.0,7,17,62,2025-02-19,2025-02-15,0,0
L100118,Customer_00118,Healthcare,Japan,Social Media,44049.37,11-50,David Wilson,Contacted,0.0,16,27,61,2025-02-11,2024-09-16,0,0
L100119,Customer_00119,Finance,United States,Website,16476.9,1000+,Henry Chen,Lost,0.0,11,13,24,2025-05-25,2025-03-30,0,0
L100120,Customer_00120,Manufacturing,Japan,Social Media,11199.39,1000+,Grace Lee,Won,0.0,7,36,60,2024-11-11,2024-08-05,0,0
L100121,Customer_00121,Real Estate,India,Referral,6830.09,1000+,Henry Chen,Won,0.0,6,5,39,2026-06-17,2026-02-18,0,0
L100122,Customer_00122,Real Estate,India,Trade Show,9575.22,1-10,Alice Johnson,Won,0.0,10,25,34,2026-09-12,2026-07-16,0,0
L100123,Customer_00123,Manufacturing,India,Referral,10038.94,11-50,David Wilson,Proposal Sent,0.0,8,20,85,2024-11-29,2024-10-01,0,0
L100124,Customer_00124,Energy,United Kingdom,Paid Ads,8819.55,1-10,Henry Chen,Lost,6920.6,12,32,72,2025-04-26,2025-03-26,1,0
L100125,Customer_00125,Education,Brazil,Cold Call,7024.53,1-10,Grace Lee,Proposal Sent,0.0,2,24,48,2025-03-22,2025-03-05,0,0
L100126,Customer_00126,Technology,Germany,Email Campaign,17696.17,1-10,David Wilson,Proposal Sent,0.0,9,49,1,2026-05-28,2025-12-21,0,0
L100127,Customer_00127,Telecom,Australia,Referral,43811.33,51-200,Alice Johnson,Contacted,0.0,14,49,70,2026-02-18,2025-11-17,0,0
L100128,Customer_00128,Education,India,Referral,25675.17,1-10,Carol Davis,Contacted,0.0,16,14,73,2025-07-12,2025-03-12,0,0
L100129,Customer_00129,Real Estate,India,Paid Ads,10660.56,11-50,Emma Brown,Won,0.0,5,1,16,2025-10-23,2025-09-26,0,0
